CH/C=O,CH/C-O-C,C=O/C-O-C,OMcat/C-O-C,SOC stock,SOC,pH,Clay,Silt,Sand,Skeleton,Elevation,Altitude difference,Downslope Distance Gradient,Slope,SAGA Wetness Index,Terrain Ruggedness Index,Flow accumulation,Stream Power Index,VDCN,CNBL,Profile curvature,Tangential curvature,General curvature,Total curvature,Aspect,Area,Length,Width,Coniferous forests,Beech forests,"Oak, hornbeam and chestnuts forests",Riparian vegetation,Cultivated fields,Anthropic areas,Bare surfaces / rocky outcrops,Sparce vegetation / in evolution,Meadows,Bushes and shrubs,Silicified Calcilutites and Silty Clays,Clays and Shales,Carbonate Turbidites,Ophiolitic/Sedimentary Breccias and Olistolites,Arenaceous-Pelitic Turbidites
0.067,0.021,0.306,0.994,73.201,1.915,7.595,30.132,44.588,25.281,16.175,557.238,208.639,82.657,12.824,7.243,0.301,769097.438,377.081,210.555,346.484,-0.000180,-0.000617,-0.001687,0.000032,214.096,1138020,2797,1361,0.068,0.000,0.500,0.000,0.196,0.106,0.000,0.000,0.010,0.120,0.149,0.011,0.549,0.000,0.290
0.075,0.052,0.689,2.012,68.598,1.806,7.259,32.875,43.436,23.689,13.466,612.423,266.828,131.714,12.443,7.454,0.293,1248393.125,733.623,254.927,358.066,-0.000205,-0.000517,-0.001611,0.000123,191.194,1223228,2869,1453,0.000,0.000,0.502,0.000,0.274,0.150,0.000,0.000,0.028,0.046,0.000,0.000,1.000,0.000,0.000
0.026,0.006,0.220,0.601,69.939,1.759,7.641,29.853,44.318,25.829,22.498,575.247,229.164,148.587,12.852,7.009,0.301,831661.125,325.618,207.791,367.827,-0.000110,-0.000523,-0.001325,0.000033,134.284,927148,2897,1651,0.191,0.000,0.179,0.006,0.450,0.032,0.000,0.028,0.033,0.082,0.197,0.000,0.751,0.000,0.051
0.056,0.017,0.296,0.708,70.076,1.758,7.635,29.874,44.241,25.885,22.759,583.527,219.101,119.552,12.942,7.001,0.303,1610542.500,302.216,215.034,368.926,-0.000147,-0.000525,-0.001407,0.000033,135.800,890576,2709,1648,0.174,0.000,0.186,0.004,0.465,0.029,0.000,0.029,0.035,0.078,0.179,0.000,0.782,0.000,0.039
0.039,0.013,0.322,1.428,79.243,2.059,7.394,28.012,42.920,29.068,21.109,776.929,424.865,781.308,12.178,7.341,0.286,32423422.000,459.689,154.792,622.214,-0.000216,-0.000416,-0.001373,0.000032,156.625,35506932,10373,8774,0.021,0.154,0.382,0.009,0.266,0.047,0.004,0.020,0.049,0.048,0.258,0.063,0.474,0.061,0.144
0.060,0.013,0.224,0.764,79.244,2.059,7.394,28.012,42.920,29.068,21.109,776.972,424.610,805.486,12.179,7.341,0.286,50041040.000,459.348,154.806,622.239,-0.000216,-0.000417,-0.001373,0.000032,156.627,35503595,10373,8774,0.021,0.154,0.382,0.009,0.266,0.047,0.004,0.020,0.049,0.048,0.258,0.063,0.474,0.061,0.144
0.074,0.034,0.465,1.655,66.653,1.758,7.675,30.588,43.474,25.938,20.934,592.529,237.889,745.360,17.316,6.561,0.427,584264.938,511.127,201.379,391.744,-0.000361,-0.000039,-0.000990,0.000058,133.063,1268826,2948,1207,0.081,0.000,0.284,0.005,0.291,0.037,0.000,0.143,0.014,0.146,0.188,0.117,0.617,0.000,0.078
0.037,0.012,0.325,1.435,79.714,2.071,7.383,27.914,42.899,29.186,21.115,784.211,430.339,780.119,11.998,7.365,0.281,55242876.000,530.546,153.278,631.026,-0.000211,-0.000434,-0.001395,0.000031,157.612,34201611,10773,8152,0.019,0.159,0.386,0.009,0.265,0.047,0.004,0.015,0.050,0.045,0.261,0.060,0.469,0.063,0.146
0.054,0.014,0.257,1.222,79.120,2.056,7.391,28.062,42.930,29.008,21.046,773.276,424.689,821.816,12.173,7.346,0.286,48238392.000,461.106,154.949,618.419,-0.000216,-0.000415,-0.001369,0.000032,157.236,36030417,10765,8774,0.021,0.151,0.383,0.009,0.267,0.048,0.004,0.019,0.049,0.049,0.255,0.067,0.476,0.060,0.142
0.059,0.021,0.360,0.433,75.213,1.937,6.813,32.868,43.617,23.515,12.826,600.494,246.871,650.925,12.729,7.570,0.297,145898.828,478.416,240.524,360.199,-0.000178,-0.000690,-0.001829,0.000050,237.331,298052,1783,562,0.000,0.000,0.700,0.000,0.180,0.077,0.000,0.000,0.035,0.009,0.000,0.012,0.988,0.000,0.000
