CH/C=O,CH/C-O-C,C=O/C-O-C,OMcat/C-O-C,SOC stock,SOC,pH,Clay,Silt,Sand,Skeleton,Elevation,Altitude difference,Downslope Distance Gradient,Slope,SAGA Wetness Index,Terrain Ruggedness Index,Flow accumulation,Stream Power Index,VDCN,CNBL,Profile curvature,Tangential curvature,General curvature,Total curvature,Aspect,Area,Length,Width,Coniferous forests,Beech forests,"Oak, hornbeam and chestnuts forests",Riparian vegetation,Cultivated fields,Anthropic areas,Bare surfaces / rocky outcrops,Sparce vegetation / in evolution,Meadows,Bushes and shrubs,Silicified Calcilutites and Silty Clays,Varicoloured Clays and Shales,Carbonate Turbidites,Ophiolitic/Sedimentary Breccias and Olistolites,Arenaceous-Pelitic Turbidites,,,,,,
0.031,0.007,0.234,0.532,76.442,1.946,7.553,29.473,43.905,26.623,24.797,743.180,302.371,171.054,12.032,7.948,0.283,25751156.000,681.816,102.941,640.776,-0.000222,-0.001103,-0.002815,0.000036,130.043,6130250,6882,4390,0.006,0.148,0.280,0.021,0.385,0.052,0.001,0.019,0.025,0.063,0.020,0.060,0.601,0.000,0.318,,,,,,
0.025,0.006,0.253,0.384,86.737,2.178,7.158,27.500,43.926,28.574,24.430,955.704,251.870,145.185,13.262,7.676,0.313,4303489.500,513.101,106.284,849.299,-0.000250,-0.000984,-0.002647,0.000046,107.321,1821500,3090,2561,0.000,0.478,0.285,0.006,0.202,0.009,0.000,0.000,0.013,0.006,0.052,0.000,0.177,0.001,0.770,,,,,,
0.047,0.006,0.125,0.174,73.930,1.980,7.677,29.952,44.099,25.949,20.373,880.313,164.152,72.151,13.296,8.599,0.314,822673.125,1159.083,156.942,725.770,-0.000463,-0.002609,-0.006736,0.000070,90.069,147275,2794,1170,0.000,0.219,0.209,0.057,0.309,0.128,0.000,0.059,0.018,0.001,0.000,0.236,0.474,0.000,0.289,,,,,,
0.016,0.004,0.235,0.267,84.880,2.145,7.227,27.869,43.921,28.210,24.141,942.682,246.327,110.369,13.129,7.762,0.309,4675737.500,535.336,110.815,831.593,-0.000282,-0.001073,-0.002931,0.000046,106.107,2073225,3190,2886,0.000,0.436,0.274,0.012,0.226,0.023,0.000,0.004,0.014,0.010,0.046,0.035,0.222,0.001,0.697,,,,,,
0.005,0.001,0.219,0.233,82.373,2.099,7.304,28.330,43.898,27.773,24.285,905.007,279.225,106.584,12.833,7.718,0.303,3385971.000,548.437,98.938,806.410,-0.000301,-0.000970,-0.002740,0.000045,108.480,2450675,3738,2886,0.000,0.369,0.263,0.018,0.232,0.039,0.000,0.004,0.054,0.021,0.039,0.030,0.334,0.001,0.597,,,,,,
0.012,0.002,0.134,0.166,70.208,1.922,7.693,30.337,44.539,25.124,13.304,775.506,113.806,63.158,11.788,8.535,0.273,1322597.875,1138.361,145.151,631.619,-0.000602,-0.002901,-0.007398,0.000062,69.869,141500,2227,538,0.006,0.000,0.247,0.062,0.089,0.071,0.000,0.125,0.016,0.384,0.000,0.583,0.132,0.000,0.285,,,,,,
0.045,0.009,0.209,0.377,64.487,1.828,7.655,31.825,43.415,24.760,25.401,700.429,145.706,146.522,12.210,9.026,0.294,974577.250,593.163,124.417,577.956,-0.000220,-0.001683,-0.004375,0.000027,156.201,234725,1540,1098,0.000,0.000,0.309,0.000,0.274,0.019,0.000,0.302,0.000,0.096,0.000,0.019,0.981,0.000,0.000,,,,,,
0.054,0.011,0.206,0.542,78.047,1.925,7.643,30.400,43.500,26.100,28.367,737.622,178.773,158.302,9.208,10.348,0.211,1363845.500,3319.753,72.092,661.879,0.000093,-0.003252,-0.006418,0.000044,156.318,105350,3732,1127,0.000,0.000,0.599,0.003,0.325,0.012,0.000,0.028,0.022,0.011,0.013,0.103,0.848,0.000,0.036,,,,,,
0.039,0.007,0.174,0.559,68.676,1.858,7.650,31.399,43.476,25.125,26.269,709.754,155.730,111.458,11.191,9.443,0.271,4809147.500,1537.599,107.262,604.198,-0.000139,-0.002117,-0.004979,0.000033,156.490,340800,4020,1748,0.000,0.000,0.400,0.001,0.289,0.017,0.000,0.217,0.007,0.070,0.004,0.045,0.940,0.000,0.011,,,,,,
0.012,0.002,0.131,0.176,78.863,2.053,7.375,28.911,43.760,27.329,23.720,864.331,308.751,218.384,12.594,7.661,0.297,8748134.000,572.918,91.595,773.311,-0.000272,-0.000978,-0.002681,0.000044,105.601,2966675,4331,2879,0.000,0.305,0.242,0.025,0.243,0.080,0.000,0.009,0.047,0.048,0.032,0.052,0.408,0.000,0.507,,,,,,
