CH/C=O,CH/C-O-C,C=O/C-O-C,OMcat/C-O-C,SOC stock,SOC,pH,Clay,Silt,Sand,Skeleton,Elevation,Altitude difference,Downslope Distance Gradient,Slope,SAGA Wetness Index,Terrain Ruggedness Index,Flow accumulation,Stream Power Index,VDCN,CNBL,Profile curvature,Tangential curvature,General curvature,Total curvature,Aspect,Area,Length,Width,Coniferous forests,Beech forests,"Oak, hornbeam and chestnuts forests",Riparian vegetation,Cultivated fields,Anthropic areas,Bare surfaces / rocky outcrops,Sparce vegetation / in evolution,Meadows,Bushes and shrubs,Silicified Calcilutites and Silty Clays,Varicoloured Clays and Shales,Carbonate Turbidites,Ophiolitic/Sedimentary Breccias and Olistolites,Arenaceous-Pelitic Turbidites,,,,,,
0.036,0.012,0.321,1.400,77.520,1.981,7.574,31.293,43.615,25.092,7.270,804.577,171.201,367.476,10.305,9.102,0.238,2471917.250,1371.132,229.981,575.367,-0.000133,-0.001502,-0.003351,0.000029,250.768,596575,2455,2089,0.000,0.018,0.433,0.000,0.138,0.110,0.000,0.000,0.286,0.015,0.205,0.015,0.638,0.037,0.105,,,,,,
0.046,0.013,0.272,0.788,77.965,1.962,7.624,31.405,43.552,25.043,14.858,753.770,120.180,365.438,10.943,8.459,0.254,231967.719,470.603,132.559,622.374,-0.000250,-0.001667,-0.003956,0.000024,167.975,160200,2447,750,0.000,0.026,0.566,0.000,0.363,0.004,0.000,0.000,0.000,0.041,0.275,0.000,0.419,0.254,0.052,,,,,,
0.020,0.005,0.225,0.446,85.309,2.274,7.365,26.355,41.890,31.756,24.225,880.741,250.755,354.355,11.896,7.852,0.279,5189865.000,551.046,94.729,786.250,-0.000282,-0.001140,-0.002984,0.000032,135.844,4019075,5126,3553,0.004,0.207,0.378,0.006,0.177,0.070,0.008,0.004,0.095,0.051,0.272,0.000,0.608,0.116,0.004,,,,,,
0.040,0.007,0.182,0.537,86.941,2.318,7.324,25.830,41.636,32.534,24.975,898.710,254.878,337.967,11.902,7.852,0.279,10205627.000,589.930,93.131,805.345,-0.000281,-0.001141,-0.002991,0.000032,130.211,3530775,4678,3325,0.005,0.227,0.357,0.005,0.165,0.065,0.009,0.005,0.106,0.056,0.261,0.000,0.615,0.121,0.003,,,,,,
0.049,0.011,0.213,0.531,83.290,2.143,7.594,31.285,44.047,24.668,15.326,851.911,204.977,215.941,13.066,8.337,0.310,180701.875,1171.756,175.942,673.005,-0.000171,-0.002322,-0.005105,0.000070,137.206,123975,2425,458,0.000,0.210,0.767,0.000,0.002,0.000,0.000,0.000,0.013,0.009,0.666,0.000,0.231,0.072,0.031,,,,,,
0.040,0.010,0.242,0.641,86.281,2.295,7.350,26.235,41.835,31.930,24.278,888.208,252.496,396.184,11.955,7.869,0.280,6701451.500,607.560,96.849,792.245,-0.000277,-0.001224,-0.003143,0.000034,135.669,3864150,4862,3553,0.005,0.215,0.390,0.005,0.161,0.060,0.008,0.004,0.098,0.053,0.283,0.000,0.592,0.120,0.005,,,,,,
0.041,0.014,0.336,0.871,82.069,2.162,7.394,27.075,42.160,30.766,21.813,832.290,337.252,114.509,11.903,7.923,0.279,9551324.000,683.115,109.123,723.250,-0.000279,-0.001136,-0.002976,0.000032,155.795,5766225,6902,3898,0.003,0.147,0.395,0.005,0.216,0.077,0.006,0.003,0.098,0.050,0.346,0.002,0.535,0.099,0.019,,,,,,
0.093,0.022,0.241,1.341,77.231,2.075,6.642,22.519,41.150,36.331,20.873,750.112,248.100,45.634,16.574,7.250,0.397,749286.688,475.685,264.411,486.583,-0.000367,-0.001580,-0.004262,0.000058,289.085,353525,1780,705,0.000,0.001,0.889,0.000,0.044,0.004,0.015,0.009,0.007,0.031,0.894,0.000,0.045,0.014,0.047,,,,,,
0.067,0.017,0.251,1.300,81.820,2.157,7.349,26.786,42.111,31.103,21.834,826.633,337.112,164.911,12.166,7.875,0.286,23655568.000,662.152,117.709,709.106,-0.000263,-0.001175,-0.003034,0.000034,163.937,6136225,7504,3918,0.003,0.138,0.425,0.005,0.205,0.073,0.007,0.003,0.093,0.049,0.379,0.001,0.506,0.093,0.020,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
