CH/C=O,CH/C-O-C,C=O/C-O-C,OMcat/C-O-C,SOC stock,SOC,pH,Clay,Silt,Sand,Skeleton,Elevation,Altitude difference,Downslope Distance Gradient,Slope,SAGA Wetness Index,Terrain Ruggedness Index,Flow accumulation,Stream Power Index,VDCN,CNBL,Profile curvature,Tangential curvature,General curvature,Total curvature,Aspect,Area,Length,Width,Coniferous forests,Beech forests,"Oak, hornbeam and chestnuts forests",Riparian vegetation,Cultivated fields,Anthropic areas,Bare surfaces / rocky outcrops,Sparce vegetation / in evolution,Meadows,Bushes and shrubs,Silicified Calcilutites and Silty Clays,Clays and Shales,Carbonate Turbidites,Ophiolitic/Sedimentary Breccias and Olistolites,Arenaceous-Pelitic Turbidites
0.025,0.006,0.253,0.384,88.301,2.299,6.790,24.983,42.833,32.184,21.640,1042.559,338.725,145.185,16.217,6.519,0.391,4303489.500,283.435,187.035,855.498,-0.000059,0.000018,-0.000100,0.000055,127.714,5684125,3264,2786,0.000,0.675,0.181,0.002,0.097,0.004,0.019,0.003,0.013,0.007,0.163,0.000,0.131,0.064,0.642
0.047,0.006,0.125,0.174,81.539,2.085,7.589,28.709,44.483,26.809,22.850,979.987,263.827,72.151,19.349,6.211,0.479,822673.125,200.134,245.365,734.605,-0.000114,0.000103,-0.000080,0.000079,122.371,2239450,3061,1547,0.000,0.409,0.326,0.008,0.175,0.022,0.000,0.014,0.012,0.034,0.000,0.183,0.488,0.000,0.329
0.016,0.004,0.235,0.267,85.626,2.220,7.046,26.232,43.289,30.479,21.999,1016.263,319.908,110.369,17.050,6.432,0.414,4675737.500,255.955,201.414,814.776,-0.000062,0.000028,-0.000089,0.000062,125.082,8295300,3787,3163,0.000,0.573,0.229,0.005,0.130,0.013,0.013,0.006,0.013,0.019,0.112,0.065,0.251,0.044,0.529
0.005,0.001,0.219,0.233,84.672,2.197,7.095,26.547,43.331,30.122,22.351,994.785,369.004,106.584,16.777,6.462,0.407,3385971.000,304.323,190.391,804.538,-0.000078,0.000049,-0.000079,0.000060,126.378,8955075,3857,3338,0.000,0.531,0.243,0.007,0.133,0.018,0.012,0.005,0.027,0.024,0.103,0.060,0.292,0.041,0.503
0.012,0.002,0.134,0.166,74.983,1.998,7.653,30.381,44.696,24.923,15.023,828.787,167.087,63.158,12.643,6.461,0.297,1322597.875,146.795,189.099,639.773,-0.000013,0.000006,-0.000029,0.000041,92.533,1267150,2466,756,0.040,0.053,0.421,0.017,0.105,0.052,0.000,0.071,0.008,0.233,0.000,0.723,0.163,0.004,0.109
0.045,0.009,0.209,0.377,71.339,1.896,7.610,31.452,43.271,25.277,26.956,737.643,182.920,146.522,14.375,6.751,0.341,974577.250,119.378,153.814,583.804,0.000009,-0.000007,-0.000009,0.000036,188.189,1756175,1688,1421,0.000,0.000,0.550,0.000,0.274,0.047,0.000,0.085,0.000,0.044,0.000,0.019,0.981,0.000,0.000
0.054,0.011,0.206,0.542,78.535,2.049,7.551,30.332,42.985,26.683,28.247,834.409,275.560,158.302,13.762,6.668,0.327,1363845.500,219.782,122.503,711.685,-0.000033,0.000032,-0.000010,0.000042,158.204,3110450,4100,1636,0.000,0.162,0.531,0.000,0.194,0.034,0.016,0.025,0.010,0.027,0.072,0.066,0.750,0.050,0.062
0.039,0.007,0.174,0.559,75.933,1.994,7.574,30.744,43.089,26.167,27.779,798.781,244.756,111.458,13.990,6.703,0.332,4809147.500,180.762,133.465,665.230,-0.000017,0.000011,-0.000013,0.000040,169.467,4878750,4564,1923,0.000,0.103,0.539,0.000,0.223,0.039,0.010,0.047,0.007,0.033,0.046,0.049,0.833,0.032,0.039
0.012,0.002,0.131,0.176,82.417,2.156,7.190,27.238,43.471,29.291,21.547,959.482,403.903,218.384,16.104,6.478,0.389,8748134.000,354.930,183.160,776.386,-0.000076,0.000051,-0.000070,0.000057,122.015,10695850,4395,3432,0.005,0.451,0.260,0.011,0.138,0.036,0.010,0.013,0.024,0.052,0.087,0.136,0.308,0.035,0.434
0.027,0.006,0.208,0.550,77.488,1.888,7.735,29.669,44.715,25.616,25.308,805.067,245.362,159.455,11.055,6.946,0.257,1573996.000,209.698,220.210,584.704,-0.000023,-0.000043,-0.000137,0.000025,155.676,2489850,3396,1765,0.002,0.014,0.324,0.014,0.554,0.036,0.000,0.000,0.000,0.056,0.000,0.563,0.249,0.002,0.186
